"Population estimates, July 1, by census subdivision, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0155-01"
"Release date: 2025-01-16"
"Geography: Canada, Province or territory, Census subdivision"
""
""

"Geography","2024"
,"Persons"
"Canada","41,288,599"
"Newfoundland and Labrador","545,247"
"Census subdivisions with 5,000-plus population, Newfoundland and Labrador","316,281"
"St. John's (CY), Newfoundland and Labrador","126,154"
"Conception Bay South (T), Newfoundland and Labrador","29,631"
"Paradise (T), Newfoundland and Labrador","25,401"
"Mount Pearl (CY), Newfoundland and Labrador","24,137"
"Corner Brook (CY), Newfoundland and Labrador","20,079"
"Grand Falls-Windsor (T), Newfoundland and Labrador","14,398"
"Gander (T), Newfoundland and Labrador","12,572"
"Portugal Cove-St. Philip's (T), Newfoundland and Labrador","9,083"
"Happy Valley-Goose Bay (T), Newfoundland and Labrador","8,198"
"Torbay (T), Newfoundland and Labrador","8,301"
"Labrador City (T), Newfoundland and Labrador","7,899"
"Clarenville (T), Newfoundland and Labrador","6,916"
"Stephenville (T), Newfoundland and Labrador","6,822"
"Bay Roberts (T), Newfoundland and Labrador","6,349"
"Marystown (T), Newfoundland and Labrador","5,262"
"Deer Lake (T), Newfoundland and Labrador","5,079"
"Census subdivisions with population under 5,000, Newfoundland and Labrador","228,966"
"Carbonear (T), Newfoundland and Labrador","4,868"
"Channel-Port aux Basques (T), Newfoundland and Labrador","3,448"
"Pasadena (T), Newfoundland and Labrador","3,841"
"Lewisporte (T), Newfoundland and Labrador","3,440"
"Placentia (T), Newfoundland and Labrador","3,444"
"Bonavista (T), Newfoundland and Labrador","3,249"
"Bishop's Falls (T), Newfoundland and Labrador","3,149"
"Springdale (T), Newfoundland and Labrador","2,936"
"Division No.  1, Subd. E (SNO), Newfoundland and Labrador","2,997"
"Harbour Grace (T), Newfoundland and Labrador","2,977"
"Botwood (T), Newfoundland and Labrador","2,882"
"Division No.  8, Subd. L (SNO), Newfoundland and Labrador","2,837"
"Spaniard's Bay (T), Newfoundland and Labrador","2,685"
"Division No.  7, Subd. E (SNO), Newfoundland and Labrador","2,642"
"Holyrood (T), Newfoundland and Labrador","2,913"
"Logy Bay-Middle Cove-Outer Cove (T), Newfoundland and Labrador","2,629"
"Division No.  9, Subd. C (SNO), Newfoundland and Labrador","2,169"
"Burin (T), Newfoundland and Labrador","2,274"
"St. Anthony (T), Newfoundland and Labrador","2,131"
"Grand Bank (T), Newfoundland and Labrador","2,089"
"Fogo Island (T), Newfoundland and Labrador","2,067"
"Twillingate (T), Newfoundland and Labrador","2,119"
"Pouch Cove (T), Newfoundland and Labrador","2,202"
"New-Wes-Valley (T), Newfoundland and Labrador","2,064"
"Wabush (T), Newfoundland and Labrador","2,090"
"Glovertown (T), Newfoundland and Labrador","2,069"
"Division No.  7, Subd. M (SNO), Newfoundland and Labrador","1,919"
