Geography,2024,Latitude,Longitude
Geography,2024,,
Canada,"41,288,599",,
Newfoundland and Labrador,"545,247",46.938717464731496,-55.52651380521186
"Census subdivisions with 5,000-plus population, Newfoundland and Labrador","316,281",,
"St. John's (CY), Newfoundland and Labrador","126,154",47.61881254917881,-52.66524811592115
"Conception Bay South (T), Newfoundland and Labrador","29,631",47.55570476138853,-52.91547453394694
"Paradise (T), Newfoundland and Labrador","25,401",47.5840794042575,-52.89670418990369
"Mount Pearl (CY), Newfoundland and Labrador","24,137",47.52930922012013,-52.78215808915032
"Corner Brook (CY), Newfoundland and Labrador","20,079",48.96737540365579,-57.83609416179865
"Grand Falls-Windsor (T), Newfoundland and Labrador","14,398",48.93945980413092,-55.61288718752532
"Gander (T), Newfoundland and Labrador","12,572",48.976134518399654,-54.49982765698896
"Portugal Cove-St. Philip's (T), Newfoundland and Labrador","9,083",47.66866959930037,-52.791821814277036
"Happy Valley-Goose Bay (T), Newfoundland and Labrador","8,198",53.36152904227884,-60.188631672274916
"Torbay (T), Newfoundland and Labrador","8,301",47.69567543146499,-52.73992441540413
"Labrador City (T), Newfoundland and Labrador","7,899",52.95822186458854,-66.90320946734263
"Clarenville (T), Newfoundland and Labrador","6,916",48.20476830025258,-53.954586115397724
"Stephenville (T), Newfoundland and Labrador","6,822",48.568651170252075,-58.536577050562535
"Bay Roberts (T), Newfoundland and Labrador","6,349",47.617573199592506,-53.180288755828045
"Marystown (T), Newfoundland and Labrador","5,262",47.16731558560917,-55.095157798823344
"Deer Lake (T), Newfoundland and Labrador","5,079",49.2101534608138,-57.27364898691785
"Census subdivisions with population under 5,000, Newfoundland and Labrador","228,966",,
"Carbonear (T), Newfoundland and Labrador","4,868",47.71648109407362,-53.21965418798404
"Channel-Port aux Basques (T), Newfoundland and Labrador","3,448",47.59734999097188,-59.0677525169007
"Pasadena (T), Newfoundland and Labrador","3,841",49.00727145573346,-57.50260185536042
"Lewisporte (T), Newfoundland and Labrador","3,440",49.23497751158887,-55.00751639781477
"Placentia (T), Newfoundland and Labrador","3,444",47.3061543722988,-53.80191161721201
"Bonavista (T), Newfoundland and Labrador","3,249",48.70314070495779,-53.08654779910904
"Bishop's Falls (T), Newfoundland and Labrador","3,149",49.03241212344007,-55.40364955387724
"Springdale (T), Newfoundland and Labrador","2,936",49.52965614957175,-56.00292810025945
"Division No.  1, Subd. E (SNO), Newfoundland and Labrador","2,997",47.784024503976326,-53.31444264006744
"Harbour Grace (T), Newfoundland and Labrador","2,977",47.69320040567965,-53.176550783045634
"Botwood (T), Newfoundland and Labrador","2,882",49.15291089474735,-55.34058319857814
"Division No.  8, Subd. L (SNO), Newfoundland and Labrador","2,837",49.71589730652031,-54.318722279778136
"Spaniard's Bay (T), Newfoundland and Labrador","2,685",47.649552192233934,-53.274542388512096
"Division No.  7, Subd. E (SNO), Newfoundland and Labrador","2,642",48.419282284434374,-53.692184292644924
